inspection_id,timestamp,mine,subsidiary,latitude,longitude,inspector_id,observation_type,severity,corrective_action_status
INSP0053,2025-03-24T16:00:00,Ningah Colliery,BCCL,21.8147,88.6456,INS153,Ventilation Inspection,Critical,Open
INSP0054,2025-05-21T01:00:00,Talcher OC,SCCL,25.9069,93.0676,INS107,Water Accumulation,Medium,Open
INSP0055,2025-07-11T10:00:00,Gevra OC,SCCL,23.8229,86.7363,INS122,Electrical Safety,High,In Progress
INSP0056,2025-04-01T05:00:00,Jharsuguda OC,SCCL,21.8236,85.7278,INS171,Slope Stability,Medium,In Progress
INSP0057,2025-04-09T15:00:00,Nigahi OC,NCL,24.8114,89.365,INS161,Slope Stability,High,In Progress
INSP0058,2025-02-11T14:00:00,Jharsuguda OC,WCL,26.0446,87.948,INS144,PPE Compliance,Medium,In Progress
INSP0059,2025-01-15T08:00:00,Moonidih Colliery,BCCL,22.7482,88.6656,INS132,Water Accumulation,Critical,Open
INSP0060,2025-03-10T23:00:00,Sohagpur UG,SECL,26.2681,92.4726,INS117,Safety Equipment Check,Medium,Open
INSP0061,2025-01-18T07:00:00,Singrauli OC,NCL,24.4977,82.8174,INS152,Slope Stability,Critical,Closed
INSP0062,2025-02-16T22:00:00,Ningah Colliery,CCL,23.1114,96.0555,INS160,Electrical Safety,Medium,In Progress
INSP0063,2025-04-20T15:00:00,Moonidih Colliery,ECL,26.1176,83.3719,INS173,Ventilation Inspection,Low,Open
INSP0064,2025-05-23T15:00:00,Manikpur UG,CCL,26.2735,82.5751,INS150,PPE Compliance,Critical,Open
INSP0065,2025-04-09T19:00:00,Manikpur UG,ECL,20.7256,90.5494,INS113,Slope Stability,High,Overdue
INSP0066,2025-07-05T10:00:00,Talcher OC,SCCL,26.0056,84.043,INS164,Electrical Safety,High,Open
INSP0067,2025-02-08T10:00:00,Gevra OC,CCL,25.0567,91.7543,INS191,Ventilation Inspection,Low,In Progress
INSP0068,2025-04-11T16:00:00,Jharsuguda OC,NCL,21.723,94.8722,INS151,PPE Compliance,Critical,In Progress
INSP0069,2025-01-30T14:00:00,Kusmunda OC,BCCL,21.7787,84.1392,INS141,Ventilation Inspection,Low,In Progress
INSP0070,2025-05-11T22:00:00,Kusunda Colliery,SCCL,25.1925,96.3405,INS138,Housekeeping,Low,In Progress
INSP0071,2025-05-03T17:00:00,Nigahi OC,NCL,21.0427,83.8034,INS139,Ventilation Inspection,Critical,In Progress
INSP0072,2025-02-10T01:00:00,Singrauli OC,SECL,22.8753,85.3427,INS117,Electrical Safety,Medium,Overdue
INSP0073,2025-07-26T18:00:00,Gevra OC,WCL,24.8816,95.722,INS196,Housekeeping,Medium,Open
INSP0074,2025-07-23T08:00:00,Sohagpur UG,BCCL,23.823,89.9526,INS146,Safety Equipment Check,Low,Closed
INSP0075,2025-07-06T22:00:00,Manikpur UG,NCL,24.1062,84.2778,INS141,PPE Compliance,Critical,Closed
INSP0076,2025-03-12T02:00:00,Nigahi OC,SCCL,21.2156,89.6856,INS107,Electrical Safety,Medium,Overdue
INSP0077,2025-06-05T22:00:00,Jharsuguda OC,ECL,24.0228,92.1215,INS139,Water Accumulation,Low,Overdue
INSP0078,2025-03-28T20:00:00,Sohagpur UG,ECL,25.1448,90.7047,INS105,Electrical Safety,High,Closed
INSP0079,2025-07-04T17:00:00,Ningah Colliery,BCCL,26.5868,89.1111,INS136,Electrical Safety,Medium,Open
INSP0080,2025-05-24T11:00:00,Gevra OC,WCL,23.3612,95.7867,INS148,Electrical Safety,Low,Open
INSP0081,2025-04-29T16:00:00,Jhanjhara Project Colly,CCL,26.6271,87.9259,INS116,Water Accumulation,Medium,Closed
INSP0082,2025-01-08T18:00:00,Moonidih Colliery,SCCL,24.711,90.1967,INS168,Electrical Safety,Medium,Open
INSP0083,2025-06-07T05:00:00,Gevra OC,CCL,22.3239,96.0912,INS192,PPE Compliance,Low,Closed
INSP0084,2025-05-24T02:00:00,Jharsuguda OC,ECL,22.114,83.0394,INS176,Safety Equipment Check,Critical,Closed
INSP0085,2025-03-25T12:00:00,Nigahi OC,ECL,23.0836,85.5451,INS127,PPE Compliance,Low,Open
INSP0086,2025-06-21T23:00:00,Moonidih Colliery,NCL,25.5647,93.0028,INS140,Housekeeping,High,Open
INSP0087,2025-04-14T00:00:00,Manikpur UG,CCL,26.5842,89.8488,INS152,Slope Stability,High,Closed
INSP0088,2025-07-10T00:00:00,Jharsuguda OC,CCL,24.426,88.438,INS163,Safety Equipment Check,High,Overdue
INSP0089,2025-06-29T00:00:00,Gevra OC,WCL,23.1196,86.5283,INS123,PPE Compliance,Critical,Open
INSP0090,2025-03-18T22:00:00,Moonidih Colliery,CCL,25.5047,95.7511,INS171,Electrical Safety,Critical,Open
INSP0091,2025-05-13T13:00:00,Kusunda Colliery,SECL,21.89,91.7306,INS157,PPE Compliance,High,Closed
INSP0092,2025-07-02T19:00:00,Nigahi OC,NCL,20.9792,87.6875,INS177,Housekeeping,Low,Closed
INSP0093,2025-03-06T05:00:00,Amlohri OC,NCL,23.5464,95.0721,INS142,Slope Stability,Low,Open
INSP0094,2025-03-06T20:00:00,Nigahi OC,BCCL,25.1513,93.345,INS131,Water Accumulation,Medium,Overdue
INSP0095,2025-03-23T16:00:00,Talcher OC,MCL,25.3231,87.7399,INS168,Water Accumulation,High,In Progress
INSP0096,2025-03-31T06:00:00,Gevra OC,SCCL,23.466,94.0722,INS192,Electrical Safety,High,Open
INSP0097,2025-05-07T12:00:00,Gevra OC,WCL,20.9443,94.9913,INS194,Ventilation Inspection,Low,In Progress
INSP0098,2025-07-08T20:00:00,Manikpur UG,WCL,22.4412,84.9729,INS129,Electrical Safety,Medium,Overdue
INSP0099,2025-07-07T22:00:00,Singrauli OC,MCL,22.214,94.3539,INS192,Water Accumulation,Critical,Overdue
INSP0100,2025-02-27T10:00:00,Nigahi OC,MCL,21.6856,92.8347,INS162,Ventilation Inspection,Low,Closed
INSP0101,2025-01-26T08:00:00,Sohagpur UG,ECL,25.256,88.2159,INS180,Ventilation Inspection,Low,Open
INSP0102,2025-01-04T02:00:00,Kusunda Colliery,SCCL,22.9092,91.2975,INS185,Housekeeping,Critical,Overdue
INSP0103,2025-01-06T08:00:00,Ningah Colliery,WCL,20.7411,89.9713,INS135,Housekeeping,High,Closed
INSP0104,2025-06-21T10:00:00,Sohagpur UG,WCL,25.507,95.6766,INS113,Safety Equipment Check,Medium,Open
INSP0105,2025-03-07T12:00:00,Jharsuguda OC,SECL,25.5613,86.0399,INS150,Safety Equipment Check,High,Overdue
INSP0106,2025-06-06T16:00:00,Jharsuguda OC,NCL,26.6114,85.4179,INS187,PPE Compliance,Low,Closed
INSP0107,2025-02-01T21:00:00,Kusmunda OC,WCL,22.933,89.1701,INS181,Safety Equipment Check,Medium,Closed
INSP0108,2025-06-20T14:00:00,Sohagpur UG,WCL,24.5394,86.9991,INS112,Housekeeping,Low,Open
INSP0109,2025-03-14T03:00:00,Manikpur UG,SCCL,22.2966,95.8924,INS187,Slope Stability,Low,Open
INSP0110,2025-04-18T08:00:00,Ningah Colliery,NCL,24.1922,93.3138,INS191,PPE Compliance,Critical,Closed
INSP0111,2025-04-13T03:00:00,Madhusudanpur Colliery,NCL,24.0702,94.7716,INS186,Housekeeping,High,Overdue
INSP0112,2025-02-17T18:00:00,Amlohri OC,BCCL,23.6748,96.6448,INS106,Safety Equipment Check,Critical,Open
INSP0113,2025-01-26T22:00:00,Gevra OC,WCL,26.4835,86.9256,INS181,Slope Stability,Critical,Overdue
INSP0114,2025-03-19T20:00:00,Gevra OC,WCL,23.2611,92.2254,INS184,Electrical Safety,Low,In Progress
INSP0115,2025-03-26T02:00:00,Nigahi OC,BCCL,21.1622,84.3433,INS191,PPE Compliance,Medium,Overdue
INSP0116,2025-04-19T02:00:00,Gevra OC,BCCL,21.2191,96.1744,INS156,Slope Stability,High,Closed
INSP0117,2025-02-15T05:00:00,Jhanjhara Project Colly,CCL,23.2559,90.3848,INS165,Electrical Safety,Low,Closed
INSP0118,2025-01-31T14:00:00,Gevra OC,BCCL,24.2515,93.7966,INS149,Safety Equipment Check,High,Overdue
INSP0119,2025-05-13T08:00:00,Amlohri OC,BCCL,25.0191,90.423,INS131,Housekeeping,Medium,Overdue
INSP0120,2025-02-27T20:00:00,Madhusudanpur Colliery,SECL,22.4768,89.4269,INS108,Ventilation Inspection,Critical,In Progress
