date,mine,subsidiary,shift,workers_scheduled,workers_present,contractors_present,absentee_pct
2025-09-22,Kusmunda OC,NCL,B,270,233,40,13.7
2025-09-22,Ningah Colliery,NCL,C,247,241,51,2.43
2025-09-23,Jhanjhara Project Colly,SECL,A,317,309,51,2.52
2025-09-23,Kusmunda OC,ECL,B,139,120,29,13.67
2025-09-23,Dipka OC,CCL,C,139,120,34,13.67
2025-09-24,Dipka OC,WCL,A,269,253,47,5.95
2025-09-24,Nigahi OC,BCCL,B,159,154,41,3.14
2025-09-24,Jharsuguda OC,SECL,C,288,282,12,2.08
2025-09-25,Nigahi OC,SCCL,A,269,236,25,12.27
2025-09-25,Sohagpur UG,MCL,B,265,228,44,13.96
2025-09-25,Manikpur UG,SECL,C,263,225,22,14.45
2025-09-26,Jhanjhara Project Colly,NCL,A,312,269,51,13.78
2025-09-26,Singrauli OC,MCL,B,90,77,25,14.44
2025-09-26,Madhusudanpur Colliery,NCL,C,185,159,47,14.05
2025-09-27,Kusunda Colliery,CCL,A,199,178,60,10.55
2025-09-27,Manikpur UG,CCL,B,81,71,18,12.35
2025-09-27,Talcher OC,BCCL,C,208,200,52,3.85
2025-09-28,Sohagpur UG,MCL,A,93,80,60,13.98
2025-09-28,Amlohri OC,ECL,B,201,187,21,6.97
2025-09-28,Moonidih Colliery,WCL,C,106,91,43,14.15
2025-09-29,Jhanjhara Project Colly,MCL,A,112,102,42,8.93
2025-09-29,Jharsuguda OC,NCL,B,135,123,49,8.89
2025-09-29,Ningah Colliery,ECL,C,346,308,13,10.98
